WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
338,Caravelas,BR,-17.7125,-39.2481,70.86,72,99,10.56,overcast clouds
339,Coihaique,CL,-45.5752,-72.0662,49.95,50,90,10.36,light rain
340,Prabumulih,ID,-3.45,104.25,72.59,97,99,3.78,overcast clouds
341,Adrar,MR,20.5022,-10.0711,96.73,14,9,13.35,clear sky
342,Esso,RU,55.9333,158.7,42.21,81,89,9.15,overcast clouds
343,Channel-Port Aux Basques,CA,47.5702,-59.1367,62.42,93,100,10.18,overcast clouds
344,Tazovskiy,RU,67.4667,78.7,59.09,78,4,6.67,clear sky
345,Lethbridge,CA,49.7,-112.8186,87.35,30,40,11.5,scattered clouds
346,Grand Gaube,MU,-20.0064,57.6608,70.2,67,76,5.99,broken clouds
347,Neryungri,RU,56.6709,124.6491,56.25,97,100,1.21,overcast clouds
348,West Wendover,US,40.7391,-114.0733,94.21,15,1,8.05,clear sky
349,Klaksvik,FO,62.2266,-6.589,56.32,94,100,7.38,overcast clouds
350,Asau,RO,46.4333,26.4,65.39,68,98,3.24,light rain
351,Bayeux,BR,-7.125,-34.9322,77.63,83,40,13.8,scattered clouds
352,Beloha,MG,-25.1667,45.05,64.99,68,0,6.33,clear sky
353,Olafsvik,IS,64.8945,-23.7142,56.05,80,19,5.53,few clouds
354,Meulaboh,ID,4.1363,96.1285,76.6,82,100,3.78,overcast clouds
355,Yilan,TW,24.757,121.753,83.82,99,100,3.49,overcast clouds
356,Sinnamary,GF,5.3833,-52.95,81.14,81,51,4.5,broken clouds
357,Troitskoye,RU,52.9821,84.6757,57.04,90,98,5.23,overcast clouds
358,Hovd,MN,48.0056,91.6419,61.39,51,45,6.89,scattered clouds
359,Atar,MR,20.5169,-13.0499,101.34,13,2,10.4,clear sky
360,Paita,PE,-5.0892,-81.1144,75.76,73,1,17.9,clear sky
361,Segezha,RU,63.7415,34.3222,55.22,70,82,2.04,broken clouds
362,Soyo,AO,-6.1349,12.3689,73.89,81,35,11.16,scattered clouds
363,Luderitz,NA,-26.6481,15.1594,58.05,67,15,4.34,few clouds
364,Wanlaweyn,SO,2.6185,44.8938,74.97,78,100,17.31,overcast clouds
365,Sembakung,ID,3.8167,117.25,73.51,99,89,2.24,overcast clouds
366,Chapais,CA,49.7834,-74.8492,78.58,43,99,7.72,overcast clouds
367,Raga,SS,8.4596,25.678,69.21,95,79,1.99,broken clouds
368,Djambala,CG,-2.5447,14.7533,79.56,43,94,0.78,overcast clouds
369,Coahuayana,MX,18.7333,-103.6833,81.57,82,100,2.89,overcast clouds
370,Leningradskiy,RU,69.3833,178.4167,41.05,93,98,4.23,overcast clouds
371,Lesnoy,RU,57.6198,63.0784,63.45,96,100,6.38,light rain
372,Mumford,GH,5.2618,-0.759,75.36,89,79,9.37,broken clouds
373,Forbes,AU,-33.3833,148.0167,45.91,66,100,6.31,overcast clouds
374,Kashi,CN,39.4547,75.9797,74.41,46,40,17.9,scattered clouds
375,Plouzane,FR,48.3833,-4.6167,61.12,91,90,16.11,overcast clouds
376,Waipawa,NZ,-41.4122,175.5153,49.03,90,100,4.21,moderate rain
377,Kenai,US,60.5544,-151.2583,66.02,75,90,4.61,overcast clouds
378,Haines Junction,CA,60.7522,-137.5108,66.15,68,84,2.3,light rain
379,Arrifes,PT,37.7667,-25.7,71.85,88,40,16.11,scattered clouds
380,Kirillov,RU,59.863,38.3813,57.13,61,100,4.47,light rain
381,Puerto Colombia,CO,10.9878,-74.9547,84.16,75,4,20.96,clear sky
382,San Ramon,US,37.7799,-121.978,85.05,62,0,7.0,clear sky
383,Pacific Grove,US,36.6177,-121.9166,84.16,77,40,7.0,scattered clouds
384,Manokwari,ID,-0.8667,134.0833,78.53,78,95,4.76,overcast clouds
385,Luau,AO,-10.7073,22.2247,65.79,24,0,5.35,clear sky
386,Simao,CN,22.7886,100.9748,67.1,98,100,2.19,overcast clouds
387,Lawton,US,34.6087,-98.3903,87.82,51,90,5.75,overcast clouds
388,Katobu,ID,-4.9408,122.5276,74.28,91,80,5.03,broken clouds
389,Tilichiki,RU,60.4667,166.1,47.26,86,100,29.01,light rain
390,Aripuana,BR,-9.1667,-60.6333,92.48,26,61,1.95,broken clouds
391,Dwarka,IN,22.2394,68.9678,81.05,81,100,15.97,overcast clouds
392,Cherskiy,RU,68.75,161.3,50.54,72,61,2.39,broken clouds
393,Bella Union,UY,-30.2752,-57.6007,65.53,65,56,6.22,broken clouds
394,Talnakh,RU,69.4865,88.3972,64.62,69,80,2.53,broken clouds
395,Giyani,ZA,-23.3025,30.7187,65.19,42,0,3.8,clear sky
396,Samarai,PG,-10.6167,150.6667,77.5,71,97,16.87,overcast clouds
397,Langsa,ID,4.4683,97.9683,74.88,95,100,2.46,overcast clouds
398,Bandraboua,YT,-12.7044,45.1223,74.88,67,6,4.27,clear sky
